,0.009,0.008,0.007
15,0.0045345391581058415,0.0036214048883499413,0.0028128494825559697
30,0.017690912865204838,0.014108526222599168,0.011064595204098004
45,0.03737552202235017,0.03006978670051212,0.02358306083803066
60,0.06153132318077046,0.050216903884569154,0.040004520060629295
75,0.08960790227562228,0.07371169456547894,0.05866812942927038
